speaker_id,conv_id,turn,text,length,label
S0642,S29X,1,is that music a problem?,6,50_plus
S0486,S29X,2,no I don't think so,6,50_plus
S0642,S29X,3,alright then,2,50_plus
S0486,S29X,4,"hi <anon nameType=""m"" type=""name"" /> thank you for talking to me today erm so can you tell me about the art course you're running here?",24,50_plus
S0642,S29X,5,yes this is a a recreational course at the Creative Innovation Centre so the creative the word creative innovation is key to the sort of course we do here it's not the normal erm sort of for instance watercolour for beginners type course so a lot of the erm the people who attend are the majority of them are mature people and quite a few have experienced a reasonably good or very er professional art education but it's open to erm anyone really and we have about twenty doing painting and drawing in the morning and about twenty doing the life drawing and the nearest you could say was related to would be a foundation type course,119,50_plus
S0486,S29X,6,right,1,50_plus
S0642,S29X,7,in an art school so it's quite diagnostic in a sense,12,50_plus
S0486,S29X,8,right okay,2,50_plus
S0642,S29X,9,but it's very erm liberally individually biased er in the sense that people are encouraged to sort of work in a way that suits them and I suppose my philosophy would be that they'll learn more from each other than they would from me,46,50_plus
S0486,S29X,10,right,1,50_plus
S0642,S29X,11,cos cos they work they're encouraged to experiment really,10,50_plus
S0486,S29X,12,right okay so what sort of qualification do they get afterwards is it in line with an art access course or anything?,23,50_plus
S0642,S29X,13,no there is no qualification as such,7,50_plus
S0486,S29X,14,no okay,2,50_plus
S0642,S29X,15,so it's not it's not a ratified recognisable,10,50_plus
S0486,S29X,16,right,1,50_plus
S0642,S29X,17,erm educational qualification it it is purely recreational,8,50_plus
S0486,S29X,18,right,1,50_plus
S0642,S29X,19,but it's also seen as part of the sort of a wider remit here where we do all sorts of music and poetry and languages and performance,28,50_plus
S0486,S29X,20,right,1,50_plus
S0642,S29X,21,and even theatre occasionally,4,50_plus
S0486,S29X,22,yeah,1,50_plus
S0642,S29X,23,and we've got a new cinema,7,50_plus
S0486,S29X,24,oh gosh yes,3,50_plus
S0642,S29X,25,yes,1,50_plus
S0486,S29X,26,I've just noticed that wow,6,50_plus
S0642,S29X,27,well sorry not a new cinema,6,50_plus
S0486,S29X,28,right,1,50_plus
S0642,S29X,29,we've got a new,5,50_plus
S0486,S29X,30,screen,1,50_plus
S0642,S29X,31,huge screen,2,50_plus
S0486,S29X,32,a huge screen?,4,50_plus
S0642,S29X,33,yes,1,50_plus
S0486,S29X,34,oh wow,2,50_plus
S0642,S29X,35,yeah,1,50_plus
S0486,S29X,36,so what sort of things are they showing then?,10,50_plus
S0642,S29X,37,er some very popular films like erm oh Citizen Kane,10,50_plus
S0486,S29X,38,right,1,50_plus
S0642,S29X,39,we've been showing and Lawrence of Arabia we've done The Bicycle Thieves,14,50_plus
S0486,S29X,40,yeah,1,50_plus
S0642,S29X,41,Italian films,2,50_plus
S0486,S29X,42,right,1,50_plus
S0642,S29X,43,er all sorts really,4,50_plus
S0486,S29X,44,right,1,50_plus
S0642,S29X,45,so <trunc>i</trunc>it depends and we haven't got a it's not like a sort of London classic cinema where it's all sort of Italian Swedish French it's,30,50_plus
S0486,S29X,46,right,1,50_plus
S0642,S29X,47,quite a healthy mix but the the the the art on the Friday is seen as just an integral part of the whole centre really,25,50_plus
S0486,S29X,48,right great erm and <trunc>ha</trunc>have you seen that wonderful new film er Lady in the Van with?,18,50_plus
S0642,S29X,49,Alan Bennett's?,4,50_plus
S0486,S29X,50,yeah,1,50_plus
S0642,S29X,51,no,1,50_plus
S0486,S29X,52,oh God,2,50_plus
S0642,S29X,53,but I know a lot about the Lady <trunc>i</trunc><trunc>i</trunc>,8,50_plus
S0486,S29X,54,in the Van yeah,4,50_plus
S0642,S29X,55,because yeah I've been following that for years,9,50_plus
S0486,S29X,56,yes have you,3,50_plus
S0642,S29X,57,yeah but I'm looking forward to it and I will be seeing it,14,50_plus
S0486,S29X,58,yeah it's terribly poignant,5,50_plus
S0642,S29X,59,yeah I can imagine,4,50_plus
S0486,S29X,60,and I I I erm I found it incredibly sad,10,50_plus
S0642,S29X,61,yeah,1,50_plus
S0486,S29X,62,although I could see that there was a bit of humour in it but it was incredibly poignant and it left me feel you know with a a feeling of erm she'd been on the run all her life basically and that's what that's what the feeling it left me with erm so erm they do a lot of films down at the Odeon <trunc>a</trunc>and do they do any ballet dancing films or any of that sort of thing here? any dance?,87,50_plus
S0642,S29X,63,"not as such yet I'm not er but it's it's <pause dur=""short"" /> can I ask <anon nameType=""m"" type=""name"" /> something?",19,50_plus
S0486,S29X,64,yes you can,3,50_plus
S0642,S29X,65,"<anon nameType=""m"" type=""name"" />? you know the film here",7,50_plus
UNKMALE,S29X,66,yeah,1,50_plus
S0642,S29X,67,is it it's linked with what?,8,50_plus
UNKMALE,S29X,68,the British Film Institute,4,50_plus
S0642,S29X,69,the British Film Institute,4,50_plus
S0486,S29X,70,oh right oh,3,50_plus
S0642,S29X,71,so,1,50_plus
S0486,S29X,72,you're on a sort of rotation thing?,9,50_plus
S0642,S29X,73,yeah but I'm so I can see the films becoming,11,50_plus
S0486,S29X,74,quite popular,2,50_plus
S0642,S29X,75,well it could you could run two or three <unclear />,10,50_plus
S0486,S29X,76,yes you could,3,50_plus
S0642,S29X,77,"I would think the nearest equivalent I can think of is <anon type=""place"" />",12,50_plus
S0486,S29X,78,right,1,50_plus
S0642,S29X,79,"now <anon type=""place"" /> has has got a very very good film erm facility there",13,50_plus
S0486,S29X,80,yeah what's the name of that French comedian was it Petit?,13,50_plus
S0642,S29X,81,Jacques Tati,2,50_plus
S0486,S29X,82,Tati Tati I'd love to see some Jacques Tati films,11,50_plus
S0642,S29X,83,oh oh well I have got,6,50_plus
S0486,S29X,84,I really would,3,50_plus
S0642,S29X,85,well this is not the answer you want but I can bring I can bring you some of mine and you can take them home,25,50_plus
S0486,S29X,86,oh oh wow I'd love that,7,50_plus
