text_id,speaker_id,gender,topics,conv_id,turn,text,length,age_cat,clean_text,label,trigram_pred
33728,S0041,F,[],SJLT,1616,"<vocal desc=""laugh"" /> For example",2,19_29,vocal desc laugh example,0,0
9991,S0120,M,"['internet', 'work', 'politics', 'weather', 'cooking', 'health', 'house prices']",S72Q,584,"I don't know <pause dur=""short"" /> I think they've just got the <trunc>acro</trunc> acronym wrong",13,19_29,know pause dur short think got trunc acro trunc acronym wrong,0,1
12576,S0679,F,"['the great british sewing bee bbc tv programme', 'mum’s sewing', 'clothes mum made for sue in the 60s and 70s', '60s haircuts', 'car parking in central london']",S8SH,613,on yes,2,50_plus,yes,1,1
48104,S0055,F,['work'],SQ55,204,but we're gonna wear them,7,19_29,gonna wear,0,0
8799,S0281,M,"['business idea', 'friends', 'international news.']",S6AP,107,"but she did the same thing she she <pause dur=""short"" /> met some guy and felt sorry for him and got married to help him get a",24,50_plus,thing pause dur short met guy felt sorry got married help get,1,0
54809,S0041,F,[],SU82,2045,has considered me dead,4,19_29,considered dead,0,1
1431,S0238,F,"['hand-thrown mugs', 'milk', 'weather', 'spiders', 'gardening (several times)', 'power cuts', 'birds', 'decorating', 'some friends of anon', 'a local festival', 'an accident in the home']",S2UT,239,if they're doing all that er,7,50_plus,er,1,1
33122,S0265,M,['travel and domestic arrangements'],SJAW,46,oh right,2,50_plus,oh right,1,1
16942,S0281,M,"['food', 'china', 'laptop']",S9ZP,107,yeah well there you go,5,50_plus,yeah well go,1,1
18810,S0486,F,['childhood memories of the war years.'],SBS5,3,"<vocal desc=""laugh"" />",0,50_plus,vocal desc laugh,1,0
26783,S0680,F,"['making a shopping list', 'ages on birthday cards', 'buying calendar fobs', 'art and craft at school', 'other things from primary school', 'hockey boots', 'subjects for study at university – sound recording', 'wider take on social history', 'changes in computers and computing', 'passing computers to computing museum', 'volunteering at computing museum']",SEVC,351,yes,1,50_plus,yes,1,1
4219,S0248,M,"['superstitions / good luck / bad luck / sporting rituals', 'lucky charms', 'etc.']",S3TD,104,"<unclear>sound the</unclear> <trunc>f</trunc> I remember I don't I remember you saying about him or I remember your dad saying about this unlucky <anon nameType=""m"" type=""name"" />",21,50_plus,unclear sound unclear trunc f trunc remember remember saying remember dad saying unlucky anon nametype type name,1,0
20591,S0179,M,"['food', 'holidays']",SD6X,1814,mm,1,19_29,mm,0,1
5576,S0248,M,['museums / imax and 3d cinema / public transport'],S4VJ,173,oh we walked down there didn't we?,9,50_plus,oh walked,1,0
44279,S0012,M,['no info'],SP5U,477,what is the point?,5,50_plus,point,1,0
39294,S0058,F,"['food', 'gyms', 'work', 'cars', 'friends', 'graduate jobs', 'literature', 'drugs', 'tv and film', 'gender discrimination', 'babies']",SM6B,1496,oh right,2,19_29,oh right,0,1
30950,S0192,M,"['study', ""tomorrow's plans"", 'cooking', 'smoking', 'selling cds', 'the internet', 'cataloguing', 'children', 'beer and cigarettes', ""master's degrees"", 'linguistics', 'visiting home', 'family', 'basque', 'jobs', 'south korea', 'grammar', 'budgets', 'pheromones']",SGN8,489,oh he does look fat doesn't he there?,10,19_29,oh look fat,0,1
6356,S0427,M,['home decorating; academic research project funding; coffee; italy; water companies; hadron collider'],S55B,200,uhu,1,50_plus,uhu,1,1
10491,S0441,F,"['work', 'the weekend', 'house party', 'living arrangements', 'communications', 'complaining', 'friends.']",S7MF,374,open my vagina,3,19_29,open vagina,0,1
12750,S0529,F,"['anon and anon are talking in the kitchen', 'anon is cooking toad in the hole for herself', 'anon is helping and advising her. talk about food', 'cooking', 'anon’s date.']",S954,316,"<unclear /> <vocal desc=""laugh"" />",1,19_29,unclear vocal desc laugh,0,0
48521,S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",SQRA,212,yeah,1,19_29,yeah,0,0
15364,S0486,F,"['membership of a society', 'life information', 'some technical engineering subjects.']",S9F7,320,"yeah well <pause dur=""short"" /> what would happen was people would ring up and ask us for it",15,50_plus,yeah well pause dur short would happen people would ring ask us,1,0
32276,S0680,F,"['orchids', 'birthday cakes', 'school dinners', 'other stuff about our senior school', 'shopping in east kent', 'shopping in cambridge', 'cambridge university', 'plans for the afternoon']",SHHX,527,oh so you you were in mixed?,8,50_plus,oh mixed,1,1
50043,S0238,F,"['birdsong identification', 'alarm clocks', 'feeding birds', 'the dentist', 'nosebleeds', 'feeding birds', 'gardening', 'elderly women', 'throat cancer', 'mutual friends']",SRBZ,274,mm,1,50_plus,mm,1,1
22009,S0486,F,"['military experience', 'career', 'meeting his wife', 'places in taunton.']",SDEX,65,yeah,1,50_plus,yeah,1,0
55497,S0198,F,"['new apartments', 'things to buy', 'things to do', 'connecting the internet', 'food', 'rubbish collection', 'cooking', 'seasonal produce', 'smoking cigarettes', 'the nursery next door', 'banking']",SV28,22,I've got a pen I've got a pen,10,19_29,got pen got pen,0,1
1621,S0238,F,"['hand-thrown mugs', 'milk', 'weather', 'spiders', 'gardening (several times)', 'power cuts', 'birds', 'decorating', 'some friends of anon', 'a local festival', 'an accident in the home']",S2UT,429,mm,1,50_plus,mm,1,1
28477,S0192,M,"['the weekend', 'work', 'chichester', 'family', 'british national corpus', 'linguistics', 'pay day', 'colleagues', 'photos', 'names', 'hometowns', 'personal information', 'divorce', 'musicals', 'theatre', 'university', 'malaysian dialect', 'time off', 'judge judy', 'grades', 'creative writing', 'undergraduate degrees', 'novel writing', 'grammar', 'referencing', 'fireworks', 'money & budgets', 'supervisor position', 'coffee', 'schedules', 'greece', 'friends & family', 'tefl', 'tuitions fees', 'student loans', ""master's degrees"", 'boyfriends', 'relationships', 'proposal', 'marriage', 'siblings', 'passives', 'hair', 'cheating ']",SFNQ,1799,"I've got a friend I told you <anon nameType=""m"" type=""name"" /> er I recorded him a little bit yesterday but he's really hard to record cos he just says incriminating things all the time",33,19_29,got friend told anon nametype type name er recorded little bit yesterday really hard record cos says incriminating things time,0,1
43086,S0282,F,"['advice about renovation projects for historic buildings', 'bidding for funds', 'workable business plans']",SNXL,493,oh right,2,50_plus,oh right,1,1
13343,S0192,M,"['linguistics recording', 'friends', 'pregnancy', 'reunions', 'colloquialisms', 'post', 'chores', 'money and budgets', 'salary', 'marriage', 'joint bank accounts', 'south korea', 'education', 'tv', 'shopping', 'weather', 'childbirth', 'children', 'future plans', 'living abroad', 'university', 'form filling', 'accent', 'spanish', 'cigarettes', 'cost of living', 'old jobs', '']",S97Z,1762,yeah definitely,2,19_29,yeah definitely,0,0
41153,S0282,F,"['sources of funds to convert churches', 'history of a charitable building', 'fundraising tips']",SN59,74,oh right,2,50_plus,oh right,1,1
34372,S0041,F,"['relationships', 'tv', 'monarchy']",SK3B,1119,right,1,19_29,right,0,1
6733,S0426,M,['home decorating; academic research project funding; coffee; italy; water companies; hadron collider'],S55B,577,"<vocal desc=""laugh"" /> you got I got that's right",7,50_plus,vocal desc laugh got got right,1,1
